Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
1 1000.00 1177.00 100.000000 50.1621 1.58316 15.168 1.3724 0 9.58196 0 7.07086 0 0 10.5854 3.87379 0.0961444 0.130857 0.375367
2 1000.00 1177.00 100.000000 50.2315 1.30206 15.8677 1.08127 0 8.18145 0 7.47622 0 0 11.8721 3.50893 0.0799062 0.103097 0.295738
3 1000.00 1177.00 100.000000 50.2315 1.30206 15.8677 1.08127 0 8.18145 0 7.47622 0 0 11.8721 3.50893 0.0799062 0.103097 0.295738
4 1000.00 1176.90 100.000000 50.2315 1.30206 15.8677 1.08127 0 8.18145 0 7.47622 0 0 11.8721 3.50893 0.0799062 0.103097 0.295738
5 1000.00 1176.80 100.000000 50.2315 1.30206 15.8677 1.08127 0 8.18145 0 7.47622 0 0 11.8721 3.50893 0.0799062 0.103097 0.295738
6 1000.00 1176.70 100.000000 50.2315 1.30206 15.8677 1.08127 0 8.18145 0 7.47622 0 0 11.8721 3.50893 0.0799062 0.103097 0.295738
7 1000.00 1176.60 100.000000 50.2315 1.30206 15.8677 1.08127 0 8.18145 0 7.47622 0 0 11.8721 3.50893 0.0799062 0.103097 0.295738
8 1000.00 1176.50 100.000000 50.2315 1.30206 15.8677 1.08127 0 8.18145 0 7.47622 0 0 11.8721 3.50893 0.0799062 0.103097 0.295738
9 1000.00 1176.40 100.000000 50.2315 1.30206 15.8677 1.08127 0 8.18145 0 7.47622 0 0 11.8721 3.50893 0.0799062 0.103097 0.295738
10 1000.00 1176.30 100.000000 50.2315 1.30206 15.8677 1.08127 0 8.18145 0 7.47622 0 0 11.8721 3.50893 0.0799062 0.103097 0.295738
11 1000.00 1176.20 100.000000 50.2315 1.30206 15.8677 1.08127 0 8.18145 0 7.47622 0 0 11.8721 3.50893 0.0799062 0.103097 0.295738
12 1000.00 1176.10 100.000000 50.2315 1.30206 15.8677 1.08127 0 8.18145 0 7.47622 0 0 11.8721 3.50893 0.0799062 0.103097 0.295738
13 1000.00 1176.00 100.000000 50.2315 1.30206 15.8677 1.08127 0 8.18145 0 7.47622 0 0 11.8721 3.50893 0.0799062 0.103097 0.295738
