Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
1 1000.00 1177.00 100.000000 50.1621 1.58316 15.168 1.3724 0 9.58196 0 7.07086 0 0 10.5854 3.87379 0.0961444 0.130857 0.375367
2 1000.00 1177.00 79.092310 50.2715 1.57431 15.2367 1.20895 0 9.51519 0 7.0007 0 0 10.6007 3.98814 0.0995967 0.13035 0.373914
3 1000.00 1177.00 79.092310 50.2715 1.57431 15.2367 1.20895 0 9.51519 0 7.0007 0 0 10.6007 3.98814 0.0995967 0.13035 0.373914
4 1000.00 1176.90 78.984269 50.2722 1.57599 15.234 1.20985 0 9.52214 0 6.99542 0 0 10.5947 3.99101 0.0997232 0.130529 0.374426
5 1000.00 1176.80 78.876456 50.2729 1.57768 15.2314 1.21076 0 9.52908 0 6.99015 0 0 10.5887 3.99387 0.0998498 0.130707 0.374938
6 1000.00 1176.70 78.768871 50.2736 1.57936 15.2287 1.21166 0 9.53602 0 6.98488 0 0 10.5827 3.99674 0.0999764 0.130886 0.37545
7 1000.00 1176.60 78.661513 50.2743 1.58105 15.2261 1.21256 0 9.54295 0 6.97962 0 0 10.5767 3.9996 0.100103 0.131064 0.375962
8 1000.00 1176.50 78.554381 50.275 1.58273 15.2234 1.21346 0 9.54987 0 6.97436 0 0 10.5707 4.00245 0.10023 0.131243 0.376475
9 1000.00 1176.40 78.447474 50.2757 1.58441 15.2208 1.21436 0 9.55679 0 6.9691 0 0 10.5647 4.00531 0.100357 0.131422 0.376988
10 1000.00 1176.30 78.340792 50.2764 1.58609 15.2182 1.21527 0 9.5637 0 6.96386 0 0 10.5587 4.00816 0.100483 0.131601 0.377501
11 1000.00 1176.20 78.234333 50.2771 1.58777 15.2155 1.21617 0 9.57061 0 6.95861 0 0 10.5528 4.01101 0.10061 0.13178 0.378015
12 1000.00 1176.10 78.128097 50.2778 1.58946 15.2129 1.21707 0 9.57752 0 6.95337 0 0 10.5468 4.01385 0.100737 0.131959 0.378529
13 1000.00 1176.00 78.022083 50.2785 1.59114 15.2102 1.21798 0 9.58441 0 6.94814 0 0 10.5408 4.0167 0.100864 0.132138 0.379043
14 1000.00 1175.90 77.916290 50.2792 1.59282 15.2076 1.21888 0 9.59131 0 6.94291 0 0 10.5349 4.01954 0.100991 0.132318 0.379558
15 1000.00 1175.80 77.810718 50.2799 1.5945 15.205 1.21979 0 9.5982 0 6.93768 0 0 10.5289 4.02238 0.101118 0.132497 0.380073
16 1000.00 1175.70 77.705366 50.2806 1.59617 15.2023 1.22069 0 9.60508 0 6.93246 0 0 10.523 4.02521 0.101245 0.132677 0.380588
17 1000.00 1175.60 77.600232 50.2812 1.59785 15.1997 1.2216 0 9.61195 0 6.92725 0 0 10.517 4.02805 0.101372 0.132857 0.381104
18 1000.00 1175.50 77.495317 50.2819 1.59953 15.1971 1.22251 0 9.61883 0 6.92204 0 0 10.5111 4.03088 0.101499 0.133037 0.38162
