System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
1 1000.00 1177.00 100.000000 1.0000000000000000 1.000000 -1209552.250502 269.404701 37.520843 146.045813 -262.506412 2960.148800 -9.331 -9.331 2.665185 0.000000 2.405 n/a n/a
2 1000.00 1177.00 100.000000 0.7909231030985148 0.805569 -1236255.948050 263.221647 36.889725 140.846171 -216.118222 2571.904814 -9.619 -9.619 2.661496 2.914983 2.422 n/a n/a
3 1000.00 1177.00 100.000000 0.7909231030985148 0.805569 -1236255.948050 263.221647 36.889725 140.846171 -216.118222 2571.904814 -9.619 -9.619 2.661496 2.914983 2.422 n/a n/a
4 1000.00 1176.90 100.000000 0.7898426916131976 0.804551 -1236309.785463 263.184520 36.886081 140.812473 -215.954714 2570.513152 -9.620 -9.620 2.661489 2.915062 2.422 n/a n/a
5 1000.00 1176.80 100.000000 0.7887645647247518 0.803534 -1236363.530019 263.147455 36.882445 140.778852 -215.791514 2569.124366 -9.621 -9.621 2.661482 2.915140 2.423 n/a n/a
6 1000.00 1176.70 100.000000 0.7876887143108534 0.802519 -1236417.182053 263.110451 36.878815 140.745308 -215.628620 2567.738443 -9.622 -9.622 2.661474 2.915217 2.423 n/a n/a
7 1000.00 1176.60 100.000000 0.7866151322860691 0.801506 -1236470.741902 263.073508 36.875194 140.711840 -215.466033 2566.355374 -9.623 -9.623 2.661467 2.915294 2.424 n/a n/a
8 1000.00 1176.50 100.000000 0.7855438106068908 0.800495 -1236524.209899 263.036626 36.871579 140.678448 -215.303751 2564.975148 -9.624 -9.624 2.661460 2.915369 2.424 n/a n/a
9 1000.00 1176.40 100.000000 0.7844747412686397 0.799486 -1236577.586375 262.999804 36.867972 140.645132 -215.141772 2563.597753 -9.625 -9.625 2.661453 2.915444 2.425 n/a n/a
10 1000.00 1176.30 100.000000 0.7834079163021446 0.798479 -1236630.871660 262.963043 36.864372 140.611892 -214.980097 2562.223181 -9.626 -9.626 2.661445 2.915518 2.425 n/a n/a
11 1000.00 1176.20 100.000000 0.7823433277786037 0.797474 -1236684.066085 262.926342 36.860779 140.578726 -214.818723 2560.851419 -9.627 -9.627 2.661438 2.915591 2.426 n/a n/a
12 1000.00 1176.10 100.000000 0.7812809678081287 0.796471 -1236737.169974 262.889701 36.857194 140.545636 -214.657650 2559.482458 -9.628 -9.628 2.661431 2.915663 2.426 n/a n/a
13 1000.00 1176.00 100.000000 0.7802208285380519 0.795469 -1236790.183655 262.853120 36.853615 140.512620 -214.496876 2558.116286 -9.629 -9.629 2.661424 2.915734 2.426 n/a n/a
14 1000.00 1175.90 100.000000 0.7791629021538898 0.794470 -1236843.107451 262.816598 36.850044 140.479678 -214.336402 2556.752895 -9.630 -9.630 2.661416 2.915805 2.427 n/a n/a
15 1000.00 1175.80 100.000000 0.7781071808750469 0.793472 -1236895.941685 262.780135 36.846480 140.446811 -214.176225 2555.392273 -9.631 -9.631 2.661409 2.915875 2.427 n/a n/a
16 1000.00 1175.70 100.000000 0.7770536569627053 0.792477 -1236948.686677 262.743732 36.842923 140.414017 -214.016345 2554.034410 -9.632 -9.632 2.661402 2.915944 2.428 n/a n/a
